virus,host,interaction
PG-2021_29,Staphylococcus_arlettae,NoInf
PG-2021_29,Staphylococcus_aureus,NoInf
PG-2021_29,Staphylococcus_auricularis,NoInf
PG-2021_29,Staphylococcus_capitis,Inf
PG-2021_29,Staphylococcus_caprae,NoInf
PG-2021_29,Staphylococcus_chromogenes,Inf
PG-2021_29,Staphylococcus_cohnii,NoInf
PG-2021_29,Staphylococcus_epidermidis,Inf
PG-2021_29,Staphylococcus_equorum,Inf
PG-2021_29,Staphylococcus_fleuretti,NoInf
PG-2021_29,Staphylococcus_haemolyticus,NoInf
PG-2021_29,Staphylococcus_hominis,NoInf
PG-2021_29,Staphylococcus_hyicus,Inf
PG-2021_29,Staphylococcus_kloosii,NoInf
PG-2021_29,Staphylococcus_lentus,NoInf
PG-2021_29,Staphylococcus_lugdunensis,Inf
PG-2021_29,Staphylococcus_nepalensis,NoInf
PG-2021_29,Staphylococcus_pasteuri,NoInf
PG-2021_29,Staphylococcus_pettenkoferi,NoInf
PG-2021_29,Staphylococcus_pseudintermedius,NoInf
PG-2021_29,Staphylococcus_saprophyticus,NoInf
PG-2021_29,Staphylococcus_schleiferi,Inf
PG-2021_29,Staphylococcus_sciuri,Inf
PG-2021_29,Staphylococcus_succinus,Inf
PG-2021_29,Staphylococcus_vitulinus,Inf
PG-2021_29,Staphylococcus_warneri,NoInf
PG-2021_29,Staphylococcus_xylosus,Inf
PG-2021_2,Staphylococcus_arlettae,NoInf
PG-2021_2,Staphylococcus_aureus,NoInf
PG-2021_2,Staphylococcus_auricularis,NoInf
PG-2021_2,Staphylococcus_capitis,Inf
PG-2021_2,Staphylococcus_caprae,NoInf
PG-2021_2,Staphylococcus_chromogenes,Inf
PG-2021_2,Staphylococcus_cohnii,NoInf
PG-2021_2,Staphylococcus_epidermidis,Inf
PG-2021_2,Staphylococcus_equorum,Inf
PG-2021_2,Staphylococcus_fleuretti,NoInf
PG-2021_2,Staphylococcus_haemolyticus,NoInf
PG-2021_2,Staphylococcus_hominis,NoInf
